,wAP0021_d8_54A,wAP0031_d4_55A,wAP0034_d0_56A,wAP0035_d4_57A,wAP0037_d0_63A,wAP0038_d8_58A,wAP0040_d8_59A,wAP0041_d4_64A,wAP0043_d4_60A,wAP0045_d8_65A,wAP0046_d4_62A,wAP0047_d0_66A,wAP0048_d4_67A,wAP0049_d0_68A,wAP0049_d8_61A,wAP0050_d4_69A,wAP0054_d8_70A,wAP0026_d4_97A,wAP0051_d0_98A,wAP0051_d8_106A,wAP0052_d4_103A,wAP0052_d8_96A,wAP0054_d0_100A,wAP0055_d8_101A,wAP0057_d0_102A,wAP0058_d0_109A,wAP0058_d8_108A,wAP0059_d4_107A
KRT10,-1.869786802,-0.945228913,0.177058965,-1.07122196,-1.39549893,1.761771776,-0.958345996,-1.64438726,0.458270544,-0.649735536,-0.683875532,-0.203422854,0.220876858,2.189629701,2.009141226,-0.644064371,0.777434309,0.553313834,1.538997674,0.47654201,-0.991404677,3.41845759,1.437854006,0.755703402,-0.80751214,0,1.128094878,1.722826527
PDIA4,-0.163179494,0.306549687,0.093064387,0,0.118827379,-0.259477879,0.071327144,0.11180296,0.261242402,-0.300886493,-0.218302186,0.132550929,-0.080445901,0.300925105,-0.358215961,0.148669961,-0.243235612,-0.246108692,-0.096414493,-0.20192473,0.370804386,0.069118104,0.107785311,-0.002246001,0.097311662,0.025054035,0.300769976,0.057252085
TPT1,-0.111487542,0.478538263,0.017700243,0.664280636,0.38612436,-0.917868579,0.28235576,-0.775543274,0.281435755,0.903862343,0.090078679,-0.190468935,-0.543487036,-0.17620376,0.535783455,0.878359338,0.135125131,0.738536386,0.130420976,0.079810933,-0.196468586,-0.007540202,-0.077118561,0,0.174080339,0.388083418,-0.174484705,0.249370776
APEH,-0.796685898,-0.356121973,-0.192325034,0.013000903,0.227992072,-0.628452078,-0.114416344,-0.135167233,0.030002802,0.140261062,0.363492977,-0.017702211,-0.013119128,-0.180206064,-0.094713151,-0.333928536,-0.150396562,-0.099449707,0.083212628,0.094280249,0.153515663,-0.297073069,0.149693902,-0.023302986,-0.250611229,0.032907394,0.502821054,-0.087351486
ETFA,-0.40130536,-0.045466392,0.015042953,0.161816723,0.178685899,0.108732047,-0.036648369,-0.379724204,-0.115034305,0.433428443,0.040051321,0.132283941,0.127588422,0.369061024,-0.135928263,0.188148241,-0.045292561,0.139420072,0.185270651,-0.161813073,-0.069505933,0.066613387,-0.239436992,-0.060536213,-0.166096838,0.152491407,-0.149613303,0.259251448
PRKAR2A,0.147836315,0.172569144,0.272618022,0.657211861,0.123541799,-0.725964946,-0.22761371,0.076942207,0.90084482,-0.559439419,0.045050462,0.441152074,0.10211352,-0.226505554,0.069748591,0.06214063,-0.390799728,0.071655241,-0.588948682,-0.014919441,-0.09040428,-0.590788374,-0.270378273,0.275769972,0.146947755,0.027073692,0.077999245,0.663273617
CD59,-0.171778857,0.129988897,0.488332092,-0.854864549,1.121448443,-0.886336281,-0.543499009,0.173505104,0.126178729,-0.476134912,-0.444557427,-0.815561366,0.494747069,1.175005983,0.980401061,0.348674003,-1.03932128,-0.50596899,-0.602007444,0.094303434,0.962266491,0.154153932,0.550372091,-0.348579443,0,0.330655919,-0.947030505,0.98842478
MIF,-0.190862021,0.151213395,0.667738372,-1.312807512,1.056881593,0.173371742,-1.293304567,-0.062959346,0.600278068,NA,0.275632518,-0.300558912,0.6016051,0.282029921,-1.207010284,-0.246591217,-1.680369121,0.212490488,0.081509878,-0.706474096,-1.135392662,-1.779162149,0.771835003,-2.160940456,0.047925468,1.198645627,-0.786063447,-1.314577575
PRKCSH,-0.114218004,0.159922234,0.261203399,0.051153902,0.005269904,0.010563157,0.004192152,-0.059676016,0.551891425,0.138399385,-0.051883892,-0.10428983,-0.065804761,-0.078882511,-0.190862446,0.231373866,-0.390811743,0.196070378,0.049586677,0.404405088,0.247884677,-0.382044852,-0.338521762,-0.361092311,0.130985399,-0.500991562,0.040340329,0.06985264
FDPS,0.274780613,-0.993316198,0.332454605,-0.778067612,-0.046420298,-0.219643521,0.186327997,-0.634390192,NA,-0.741248647,-1.893178091,0.508101116,NA,1.913301718,1.038380108,-0.06871208,-0.94208651,0.825716382,0.667903789,-0.009026495,-1.442512748,-1.212494512,-0.944283198,0.660996092,0.346036946,-0.287825718,NA,0.866368628
CPM,NA,-0.273222797,-2.736414739,-0.435420124,0.366722219,-1.272484576,0.544191228,-0.107047904,1.064860239,1.381276266,1.08621519,0.622529446,1.037594557,-0.469038365,1.158645209,0.762071514,0.75724092,-0.776721548,-0.386338623,0.361477781,0.945045574,1.070769549,NA,-0.488768682,-0.376912518,-1.153803232,-0.294010271,0.755384748
COX7A2,-0.153357082,-0.957386964,-0.01110383,0.327348654,0.724655043,0.312096035,-0.351951293,0.167779595,0.210581568,-0.138106567,-0.574076255,0.515414521,1.153947133,-0.928654777,0.616284332,-0.512788828,-0.176465841,-0.151310375,-0.621754587,-1.064464208,0.204770747,-0.334347069,-0.24530529,0.801388212,-0.201987518,0.863617624,0.249931708,-0.28906924
AKR1A1,0.495560118,0.749996691,0.061965575,0.009039344,0.316817147,-0.345532656,0.458720585,0.238268666,-0.610186976,-0.13606129,0.025905113,-0.189217196,0.225244435,-0.322384127,0.126725929,-1.602153869,-0.176622383,-0.382049374,-0.501700097,-0.495313921,-0.109664587,0.93408446,-0.254016954,0.612030464,-0.103055625,0.296826499,-0.255412363,-0.13870649
PKM,0,0.194487016,0.024937723,0.132131037,0.035534944,0.064778011,-0.214859562,0.036383925,0.178928212,-0.227793853,0.128621786,0.295145481,0.068658174,-0.118971876,0.209326195,0.147693259,0.220305294,0.018509989,0.162902135,0.290337783,0.092874888,-0.158795756,0.232125687,-0.193259242,0.000847502,-0.027881188,0.3093107,-0.175468358
HSP90B1,0.057337935,0.013829715,0.279957285,0.137461207,0.157287661,0.302034154,0.149624758,-0.068665295,-0.039436592,-0.477832491,-0.36104626,-0.011884473,0.031472451,0.35014867,-0.087824415,-0.154897828,-0.295797404,-0.216880688,-0.192687929,-0.42525747,0.389364032,-0.024603191,0.292160238,-0.059733669,0.142770744,-0.160854681,0.391615083,0.105375373
DARS1,-1.010139352,-1.300533176,-0.489557129,-0.044754241,1.155704416,0.851954278,0.70341886,-0.715996388,-0.04619048,-2.839656168,0.963441587,1.086857907,0.050824896,0.850431052,0.654647465,-0.152677082,0.366994443,-0.717779081,0.681890287,-0.029359609,-0.92134743,-0.353218557,0.803563691,0.490257761,0.750445032,0.546260313,0.417477333,-0.122848841
UQCRB,0.937748282,-0.524191238,-0.889295594,0.400018152,0.503256168,0.167448245,-0.710769942,0.284704917,-0.451006427,1.331440408,-0.193142013,1.162817762,0.295521687,0.53774415,0.210337001,0.363416014,-0.592021461,-0.129819253,-0.257891349,-0.820957496,-0.07106947,-0.301858288,-0.0154214,0.329764792,0.397704671,-0.929512553,0.254433785,0.07454334
