,wAP0022_d4_2A,wAP0026_d0_10A,wAP0029_d8_50A,wAP0030_d0_51A,wAP0033_d8_20A,wAP0037_d4_31A,wAP0041_d0_41A,wAP0042_d0_87A,wAP0042_d4_42A,wAP0043_d8_40A,wAP0045_d4_88A,wAP0046_d0_46A,wAP0047_d4_47A,wAP0050_d0_93A,wAP0026_d4_97A,wAP0051_d0_98A,wAP0051_d8_106A,wAP0052_d4_103A,wAP0052_d8_96A,wAP0054_d0_100A,wAP0055_d8_101A,wAP0057_d0_102A,wAP0058_d0_109A,wAP0058_d8_108A,wAP0059_d4_107A
RPA2,1.028010708,0.229477462,1.009732725,-0.168170784,-1.026819368,1.124914815,-0.149337369,0.54267131,0.029511174,NA,0.627007102,-0.420690452,0.529963159,NA,0.823444997,0.048967369,-0.171906962,0.663775084,-0.510435796,0.140522307,-0.036471294,-0.076002343,-0.250479171,-0.371923167,0.359761066
ACAN,NA,0.08172987,-2.892629216,-2.135917258,0.188779002,NA,0.772792571,1.087833762,0.206742845,NA,0.519660565,1.175801867,-0.452273782,0.348544719,0.980386508,0.393197942,0.120188683,1.280198155,-1.652608559,-1.76066048,1.3421739,1.249245831,0.31696213,1.993659857,1.230775081
ACADS,0.385456419,0.05129204,0.966840569,0.304286345,0.931292723,0.846484469,1.413768226,NA,-0.885892199,NA,0.322355088,-0.915480045,-2.963512169,1.080458756,-2.013746973,-0.605362411,-0.329934536,0.523561641,NA,-1.652400787,NA,0.026455543,-0.623434274,-1.628765583,-0.580289372
GLB1,-0.083694863,-0.553214631,0.839523918,-0.365289825,0.304770499,-1.41403037,-0.946415499,0.54592285,-1.310129941,0.838007666,0.285167588,-0.23404755,-0.950360542,0.82698498,-0.288319433,-1.186522721,-1.678365619,0,-1.428902956,-0.395994388,-0.140758228,-0.770349445,-0.342145546,-2.766962852,-1.366055662
NCK1,NA,-0.851679759,-3.226800989,0.218945788,-0.620023689,NA,-0.086636579,-0.496150765,-1.035857374,0.853667951,0.139069829,1.011057949,1.245482549,1.923723226,-2.240818105,0.64372824,2.743016312,NA,-0.494242797,-3.104866025,-1.065039002,1.04267912,0.225565219,1.765025798,NA
POR,-0.390497386,0.274571049,0.053084618,-0.951021182,0.091102884,0.703536413,-0.179734732,-0.785400208,-1.384438242,-0.360562958,0.813855566,1.139496588,-1.232109068,-0.002544153,-0.198147994,-0.52497417,0.21590266,0.528554729,-0.65944011,0.369052249,-0.808733031,1.144051591,-0.676529059,0.20159856,0.210402644
DPEP1,0.798971617,0.04102602,-0.569444209,-1.047058347,-0.533857709,0.889101685,0.000195765,-0.928198085,0.314477561,0.168886853,-0.579335468,-0.589925097,-0.364749932,-0.088740702,0.006881688,0.124856823,0.395051166,0.099522137,0.035998792,0.439346627,-0.520439176,-0.281983499,-0.427888476,-1.743000055,-0.216527841
CD36,-1.253775008,-1.246511475,-0.094077391,0.823686975,-0.052348664,-0.713372439,1.105087241,0.776179241,0.601769302,1.306546544,0.649524333,NA,1.237482875,0.482839889,-1.926054149,NA,0.065451974,0.076237047,0.997628373,0.343087488,1.37131931,NA,-0.335182162,0.795531425,-0.389044066
PLCG2,-1.127696027,0.615573657,-0.066925519,0.407336865,0.378381316,-0.785817832,0.206395668,0.094349572,0.0357635,-1.011897354,-1.026307476,0.247579186,-0.120395156,-0.102236341,0.139226443,-0.494903807,-0.030955103,-0.035311988,-0.116168426,0.5559008,-0.062606217,-0.260910651,-0.136878727,-0.278737976,-0.589750997
TMEM11,-1.817534264,0.890834635,-0.027063531,0.655579464,-0.338185444,1.013313953,-1.243420969,-1.02370321,-0.624258551,0.65525628,0,-0.1712499,0.341788541,-0.641714908,1.156055834,0.592774945,0.847547812,0.991539773,0.050751698,0.487482762,-0.388825699,-0.144838872,-0.686605094,0.834290723,0.36131779
GOT1,-0.176520738,0.335851109,-0.67195799,-0.211992689,-0.160711531,0.688453791,-0.062048306,-0.105794835,-0.250880967,-0.691301028,-0.476568876,0.406198167,0.459786685,0.43712404,-0.084125912,0.48652271,0.346368687,0.153287648,0.289429538,0.107516096,-0.278529949,0.049793483,0.29071619,0.424019386,0.353041326
ITGA2,NA,-0.779455948,-0.242366729,-0.849884002,0.08591472,2.137717121,-0.508053555,0.222842695,-0.425876746,-0.588394216,0.399105111,-0.03691388,0.415856372,-0.400401129,0.633924128,-0.20144251,0.140386607,1.00921409,0.482784231,-0.328647561,0.559028349,0.571538948,-1.508669477,0.289969388,1.165707309
GJA1,NA,0.020054973,-0.382297945,-0.215164674,1.11218237,0.241980748,0.632794856,1.484198621,-0.311132175,-0.110739463,0.712947915,0.461611132,0.006613713,-0.884735852,1.051904829,-0.213955119,0.054851476,-1.404803603,0.570042013,-1.164113995,0.973037398,-0.006644172,1.445959562,-0.064395313,1.130416343
CTPS1,0.087351721,-0.188668625,-1.320788117,0.186319498,0.001328356,NA,0.323241892,0.015395433,0.504748907,NA,-0.012183293,0.168860212,0.453128943,-0.097536916,0.452585696,0.37134661,-0.230273733,-0.042942252,0.521164745,-0.672832593,-0.292517376,1.091278226,0.410783488,-0.49067804,-0.086475467
PFKL,-1.169685762,0.348964626,0.454010108,-0.026358712,0.262680918,-0.083383721,-0.013521619,0.001601882,0.225638397,0.18987721,0.108242478,-0.035951371,0.368223443,-0.620044457,0.109003986,-0.371867128,0.042376005,-0.425209262,-0.512026555,0.102288008,-0.045966579,-0.262300289,0.598427343,0.227908101,-0.085249314
PSMC3,-0.246203291,0.006037653,0.092285509,0.012722727,0.037531677,-0.051643824,0,0.066092672,-0.508060966,0.19056775,-0.157579215,-0.230366976,0.011937637,-0.054342705,-0.058142951,-0.113751598,0.281134192,-0.23625864,-0.329406804,-0.773487595,-0.254431555,-0.114251799,0.151823761,-0.362391032,-0.242551598
TCP1,-0.2956994,0.044960264,0.129251898,-0.110396292,0,-3.38265979,-0.297812004,-0.154129353,-0.086446974,-0.213005479,0.067651552,-0.072352912,0.02822554,0.274093445,0.056479184,0.179633409,-0.121558775,-0.09021306,-0.053268784,-0.189826927,-0.472420922,-0.053241068,0.201874017,0.177935926,-0.128958715
PTPN1,0.844522571,0.271871615,1.412885576,0.604406164,-0.552883257,0.7807435,-0.324515017,-0.43232726,0.93824035,0.289915869,1.231968931,-1.116234755,0.2341149,0.586610714,-0.180152751,-0.522696555,0.553825379,0.894833854,-1.782325708,-0.642357083,-1.31221879,-2.015311617,-0.403509054,-0.212003387,-0.488657458
IGFBP2,-1.960527023,0.976144281,NA,1.254249303,NA,NA,0.780062744,1.260640582,0.98558839,-1.599331001,-1.360194658,1.229256352,-0.37742429,0.495558913,-0.139626988,-0.368795672,-0.797564135,0.506133059,-2.607319602,1.476296775,-1.625784593,-0.358299132,1.352646411,NA,-1.206740021
ITGB5,NA,-1.076891799,0.840769962,-0.106385054,-0.063701221,NA,0.772480776,0.715311909,-0.106264114,0.733553483,NA,0.843536112,0.144187686,0.546195102,0.674827787,0.582931259,0.47134071,0.319252042,1.014098752,0.424582555,1.825136879,0.218241575,1.053328838,-1.545429584,0.289621369
RPL7,-0.193235172,-0.803884466,0.07896884,-0.089110006,0.415546574,1.269311354,0.033282125,0.801974983,0.530219222,-0.275975537,0.858052489,-0.437030334,0.919290755,-0.221050357,-0.514396051,-0.16253353,-0.357239717,-0.098369501,0.120434622,-0.251133798,0.045545891,0.710874165,-0.011886955,-0.36065906,0.013664869
VCL,0.719934523,0.276813544,-0.434584871,-0.435422836,0.414345227,-0.191347562,-0.039195383,-0.659843185,0.258491242,0.555249659,-0.04487683,1.029223603,0.843274629,-0.473365956,-0.434007932,0.106320996,-0.242278845,0.295844145,1.016563694,0.065417504,0.41258843,0.183812589,-0.548993948,0.945042745,-0.085784599
RPL17,-0.211552898,-0.256083247,0.718945578,0.643455127,0.479801546,0.732033475,0.533018795,0.563340639,0.277413522,-0.466128303,0.231668566,-0.265592649,-0.03929865,-1.293569081,-0.451108131,-0.255783531,-1.019758059,0.419958361,-0.472821185,-1.187044874,-0.405805855,-0.708779806,0.042602186,-0.115339332,-0.849900875
PGAM1,NA,0.214898231,0.019394653,0.478176369,0.187452934,0.502206505,0.229620732,0.317077223,-0.579974568,-1.180018705,0.074411092,-0.318538113,0.06463294,NA,0.05627502,0.403168028,0.203993807,0.020302865,0.244635807,-0.181197562,-0.218898435,0.387688962,-0.389502823,1.080228395,0.424687229
ATP5PF,-0.638454276,-0.58317077,0.076606529,0.143928859,-0.117415056,0.146928576,0.024740577,-0.030714028,-0.267649589,-0.503872117,-0.585952221,0.548838236,-0.264829276,0.581079147,-0.086244507,0.155566354,0.389524654,0.303139688,0.348877762,-0.141090523,0.291771266,-0.621323312,0.402887994,0.51770619,0.495205608
GNAT2,-1.449430658,1.073331891,0.02518271,2.08579899,-0.510684668,NA,NA,0.238345361,0.570970339,-0.199914029,0.344969512,-0.171063115,0.7870507,-1.387809166,1.192187609,1.247414659,-2.386135271,-2.524319802,-1.293627689,NA,-0.362243306,-0.550772208,-1.341461228,-1.785868534,-0.831245728
NDUFV2,-0.467712912,0.349444224,1.075595646,0.405067538,-0.439806512,-0.158560176,0.513426676,-0.411616868,0.251454083,0.242045892,-0.419479946,0,0.194192145,0.123632829,-0.129387724,-0.000256084,0.270984219,-0.303370135,0.058495765,0.492697175,-0.027807766,-1.34504297,-0.291087003,-0.629444687,-0.309662899
SRM,0.56232729,0.624831959,-0.074648746,0,-0.646861646,0.160738001,0.30376233,0.794871322,0.865423482,-0.791540911,0.299287926,0.789506459,-0.309087927,-0.039218018,-0.126829084,0.459649828,0.069955837,0.806598834,0.576951898,-0.061344319,-0.453235788,0.40867179,-0.111762114,-0.385807573,-0.413926598
ITIH2,-1.287772487,-0.48621113,-0.841462077,0.990430121,1.08451683,-2.342477004,-0.585124079,1.468051848,0.733854969,0.884875507,0.340250855,2.069591165,-1.156368018,-0.03068255,1.698690636,1.041434691,1.978820663,1.834074467,-0.33329983,1.171750277,0.009078535,1.864161277,0.394858293,1.550914636,2.110409849
ITIH1,-1.27117401,-0.794644758,-0.236464761,1.183463627,1.591015826,-2.059231144,-0.17190613,0.585711157,0.700817748,0.64801085,-0.29558613,2.229641566,-1.883611267,-0.176139552,1.370633622,0.279516392,1.445593937,1.173775087,-0.878492143,0.575405207,-0.01129734,1.294852417,0.385833792,1.231495958,1.77027018
ATP2B1,0.112608338,-0.096738585,0.015135309,0.261629622,-0.38357065,0.482626911,0.268356659,0.153091955,0.460192674,0.891982079,1.039205706,-0.059264897,-0.150073933,-1.035475872,-0.728350195,-1.329822305,-0.007903696,0.007860632,0.945229991,-0.460750212,0.24358347,-1.73513246,0.354021981,0.038152054,-1.163131331
ANXA7,0.470840666,0.18410464,-0.273286104,-0.632301118,-0.274207979,-1.640824367,0.285369371,0.10552598,0.064222657,-0.839601449,0.300811738,-0.11580302,-0.235445047,0.068451949,0.223326717,-0.142255818,-0.046734629,0.125504471,-0.158200661,-0.179058512,-0.307085258,0.187467722,0.143702287,0.067963098,-0.610169464
