,wAP0021_d0_1A,wAP0022_d0_4A,wAP0023_d4_8A,wAP0024_d4_49A,wAP0025_d8_9A,wAP0026_d8_71A,wAP0028_d4_52A,wAP0030_d8_53A,wAP0032_d8_74A,wAP0033_d0_75A,wAP0035_d0_80A,wAP0036_d4_76A,wAP0021_d8_54A,wAP0031_d4_55A,wAP0034_d0_56A,wAP0035_d4_57A,wAP0037_d0_63A,wAP0038_d8_58A,wAP0040_d8_59A,wAP0041_d4_64A,wAP0043_d4_60A,wAP0045_d8_65A,wAP0046_d4_62A,wAP0047_d0_66A,wAP0048_d4_67A,wAP0049_d0_68A,wAP0049_d8_61A,wAP0050_d4_69A,wAP0054_d8_70A
P08670,0.561053951,-1.31039526,2.760179011,-0.763400462,1.906455419,3.2413374,-0.913100714,0.59329142,4.244144731,4.093556072,-0.379739762,1.653676041,-2.010502792,NA,NA,0.363684436,1.34489762,-2.508283766,-0.064159664,-0.004464907,-0.395914046,-0.084864677,0.652978133,1.717697408,-1.23065027,-1.278022085,1.904261954,0.063320605,-3.251053566
P08708,1.311621774,0.642988507,0.373123165,1.095809647,0.112759593,NA,0.930272039,0.203390757,0.16607439,0.276488823,0.050301841,-0.371223154,0.62057421,-0.131761315,0.10356096,-0.493049939,-0.508247671,-0.023947434,0.791369067,-1.555991182,NA,NA,-1.503206201,-0.908144636,-0.419518331,-0.718454437,NA,-0.083117047,-0.953856869
P08754,-0.956862074,-0.303243134,0.470523484,-1.679499614,-2.795463759,NA,0.213351742,0.87996531,0.806840401,0.105044352,-0.324319313,0.622019296,-1.938619878,-0.11619524,0.54086122,-0.121122625,0.084453715,0.399638111,-0.504425618,0.88771568,-1.358607889,-1.608118118,-0.398041903,0,1.063447396,-0.310863223,-0.61261226,0.523579946,1.341841773
P08758,-0.12981858,0.079551069,0.727339747,-0.435181239,0.252156744,1.299484939,0.086646936,0.399888391,-0.541120974,0.150674306,-0.114019718,-1.322541231,1.101392439,0.5953506,-1.232065141,-1.623967009,0.644923004,-2.019996526,0.27426124,-0.211464903,0.639148979,-0.909783685,-0.698105387,-1.556534413,0,-0.159484102,1.976318214,-0.181442821,-1.285620942
P08833,-1.151703115,-1.867951454,-0.524018504,1.449900779,-0.835115033,-0.008642756,0.524644582,0.234098153,-0.352092807,0,1.162521744,0.488415281,-1.87436285,-0.731697999,-1.911764834,0.142989494,-0.840463637,0.08364393,0.920793033,-0.228940831,0.612084044,NA,-2.308111196,0.064172659,1.006389422,-1.28336663,-1.506685978,0.600626517,-1.239136762
P08865,0.824090671,0.719672907,0.445034073,0.12595283,-0.088629024,-1.210164255,0.180660816,0.455700927,-0.108554323,1.235984141,-0.133751715,-0.599796284,0.139774746,-0.308531755,0.464997232,-0.149029251,-0.101479584,0.048573778,-0.066858021,-0.398683043,-0.514053132,NA,0.002216709,-0.364739317,-0.262912562,0.028509944,-0.83923267,0.130401988,0.296543244
P09110,-0.540282015,-0.311046738,0.122074568,0.620691038,0.799311576,0.123094387,-0.07713693,0.141741622,-0.706122426,0.229419654,-1.223853668,0.031079406,0.197648598,-0.16037654,0.414448123,-0.176367804,0.529177612,0.347827851,0.011998228,-0.150522658,-0.084601008,-0.220718837,-0.299333643,-0.463025383,0.320898327,-0.306844636,0.276800396,0.320082858,-0.677407954
P09211,-1.0710173,0.204053566,0.223942761,0.241996892,-0.644185811,0.092314289,0.845476204,-0.88323874,0.022804207,0.383907716,-1.533483092,0.003683049,-0.411326965,-0.001106511,0.06891835,0.540228299,-0.276838983,0.361505341,0.738299988,-1.126830338,0.268556419,-0.460086284,-0.637967067,0.875844723,0.275420346,1.512332141,1.171792082,-0.561001923,0.873067803
P09382,0.012230786,-0.115287757,-0.622096963,-0.283783653,-0.07536958,0.531136112,-0.3583573,0.225314933,0.489171373,0.654099031,-0.725903438,-0.425777736,0.428103262,0.306747561,-0.19117641,0.590991236,-0.019362971,0.746389624,0.33603977,0.068895713,0.248316705,0.61150481,1.14256927,1.327749774,0.094421273,1.077265025,-0.037673724,-0.413222601,-0.060406793
P09417,-0.680586318,0.293443698,-0.361798812,0.100306189,0.489294319,0.487170502,0.320759641,0.559416669,-0.185842753,0.678752337,-0.343803698,0.472604175,-0.023196164,-0.005697776,-0.383862655,-0.371761478,0.362216132,0.644378646,-0.073999103,0.487859033,0.844496096,-1.132050652,-1.570338017,-0.008208164,0.225250759,-0.060190345,-0.082799995,-0.027909622,0.193000006
