,wAP0021_d0_1A,wAP0022_d0_4A,wAP0023_d4_8A,wAP0024_d4_49A,wAP0025_d8_9A,wAP0026_d8_71A,wAP0028_d4_52A,wAP0030_d8_53A,wAP0032_d8_74A,wAP0033_d0_75A,wAP0035_d0_80A,wAP0036_d4_76A,wAP0022_d4_2A,wAP0026_d0_10A,wAP0029_d8_50A,wAP0030_d0_51A,wAP0033_d8_20A,wAP0037_d4_31A,wAP0041_d0_41A,wAP0042_d0_87A,wAP0042_d4_42A,wAP0043_d8_40A,wAP0045_d4_88A,wAP0046_d0_46A,wAP0047_d4_47A,wAP0050_d0_93A
Q9NZZ3,0.150156496,-0.679839183,-1.832525607,-0.108436765,-0.237879827,-0.064963312,-0.243935022,0.51286083,0.772376943,0.649567486,-0.572189562,0.94555082,-1.106464436,-1.717464798,-0.41379313,-0.516069861,1.011483966,NA,0.83631533,0.075499571,0.55594993,-1.578976453,1.532168472,-0.01604075,0.391896759,0.297535596
Q9P032,NA,-0.456118207,0.419002745,0.248129735,0.820004089,NA,-0.277301001,-0.378427506,0.362820979,-0.668006684,0.376336371,0.478211622,-0.054282832,0.892514397,NA,0.07245297,0.666456468,NA,0.352732214,-1.157599094,-0.406761332,0.267821999,0.706281228,-0.24738996,0.44581084,0.755577411
Q9P035,-2.818905847,0.813152102,0.344897868,-0.852056313,0.523886803,NA,-0.154200971,-0.842505391,1.651673991,0.680076089,0.021765138,-0.15089448,NA,-1.76141712,NA,-0.647728152,-0.748824907,0.074740849,-0.683084085,0.625454668,0,-0.751320834,0.177153994,0.983375535,0.01203659,-0.61462002
Q9P0B6,-0.151107749,0.6238159,-1.917697486,-0.23346328,0.813780026,-0.038479799,0.081546204,0.374948489,-0.277527531,0.21603642,-1.253405982,0.215834363,1.207649626,-0.168219584,0.078771859,-0.044671933,-0.393129928,0.075790346,0.033173042,0.313890849,0.624024948,0.3961695,-0.209666095,0.170833922,-1.972943861,0.712282021
Q9P0L0,-0.035126773,0.242123227,0.122249842,0.299825005,0.511653469,-0.153178048,-0.181039635,-0.192276639,-0.087480871,-0.046939732,0.145568815,0.319682117,0.531772037,0.309075335,0.015570014,-0.036010312,-0.010271004,0.546406443,-0.334730859,0.663501692,-0.061362677,0.530365701,0.065338283,0.068682949,0.175599329,-0.214856242
Q9P0M9,-1.210574354,NA,-0.347943048,0.134618571,0.754218733,0.764436118,-0.04975443,0.813077021,0.324087193,-2.494175461,0,-0.030016503,-0.692125508,0.067894259,NA,0.471408878,-0.684477312,0.201288443,0.427991171,0.26406585,-1.757876241,1.114845031,NA,-0.36543496,-1.425724423,NA
Q9P2B2,-0.824750856,-0.590897086,-0.554067419,-0.455226874,-0.90723477,0.638028487,-0.848983316,0.802601219,-0.006156758,-1.458185342,0.73311084,-0.473328776,0.266634724,-1.206300986,0.575042834,-0.404311827,0.696401368,0.616872465,0.333949953,0.133555135,0.236624273,-0.490319946,0.690015027,-0.151928115,-1.062369902,-0.193524941
Q9P2E9,-0.402881791,0.773269303,1.859865865,-0.021157222,0.461493925,0.944234096,0.264441771,0.149090072,-1.035367063,0.868876545,0.01917713,1.105427616,1.571567231,-0.945994713,-0.294010735,0.572218594,1.022955239,1.178646708,0.833641471,1.750959197,1.226429137,1.098882191,1.577125277,NA,1.923465596,0.63902788
Q9P2J5,-0.827607365,-0.027442294,0.461622494,0.291205848,0.420456002,-1.160593913,0.544123735,-0.296935579,0.126124832,0.616179186,0.000723886,0.406808336,-0.132235305,0.895778957,0.915282668,0.260272633,0.004550354,NA,0.321339427,0.506566352,-0.446024628,-0.385147809,0.284776304,0.381281891,0.433734877,-0.316085404
Q9P2R7,0.041749404,-0.305338709,0.041312805,0.080459089,0.48738505,0,0.146367725,0.261345104,0.689373738,-0.385479097,-0.434293089,-0.209844874,-0.21953214,-0.114205777,0.697204612,0.358039996,0.217725311,0.128098659,-0.054625449,0.246319241,-0.210163787,0.470066755,-0.059498069,-0.203786252,0.042664839,-0.692935685
Q9UBQ0,0.523357898,0.306899345,0.206892484,0.057830015,0.952278753,-0.997902115,-0.048174918,-0.027436473,0,0.679427756,0.296077049,0.574027293,-0.358546169,0.055985543,0.653515072,0.153306942,0.253961988,-3.792806156,0.371464993,0.138573247,0.187779004,0.181756407,-0.221251461,-1.518490822,0.53722943,-1.0242889
Q9UBQ7,-0.25967332,0.16065527,0.018815954,0.167594294,0.511200879,0.788535884,0.124385737,0.400138087,-0.034325311,0.40737802,0.410178681,0.005274143,0.481734608,-0.21608783,0.024588973,-0.150874334,0.344580934,-1.389200343,0.325167012,0.005686282,0.152064936,-0.21806171,-0.163054674,0.038468092,-0.121580812,-0.005695877
